entity,predict,output
POI,buket bunga satin kudus,buket bunga satin kudus
POI,gg. bungsu,gg. bungsu
POI,"sunan bon, kan perhu","sunan bon, kan perhu l"
POI,gor segoro amarto,gor segoro amarto
POI,tpa an nur,tpa an nur
POI,"raya solo-tawa, no a 37",bank mandiri
POI,bank mandiri,bank mandiri
POI,jaya imperial park,jaya imperial park
POI,gloria jaya percetakan,gloria jaya percetakan
POI,alfindo putras pt pilar 2,ades alfindo putras pt pil
POI,kp. pulomalang,kp. pulomalang
POI,tk islam charijah,tk islam charijah
POI,masjid al-,"masjid al-, d"
POI,suryadi,suryadi
POI,jikun alun alun,jikun
POI,eka handa,"eka handa, de"
POI,alifa bus sungai,alifa bus su
POI,"sd neg 027 balikpapan utara girim,",sd neg 027 balikpapan utara gi
POI,raya sukanagara mas,raya sukanagara mas ba
POI,all mac,all mac
POI,toko amra,toko amra
POI,kios san asli,"kios san asli, p"
POI,suma,"suma, h"
POI,hm ban keri tempe slawi dr,hm ban keri tempe slawi dr
POI,persatuan guru repu indonesia,persatuan guru repu indonesia sun
POI,aba ama,aba ama
POI,grap telkomsel,"grap telkomsel, d"
POI,warkop kandim,warkop kandim
POI,jemb barin panaikang,jemb barin panaika
POI,atm bni,atm bni
POI,"ren ps 3, haji","ren ps 3, h"
POI,"madr diniyah al hik, ngantru","madr diniyah al hik, ngant"
POI,bambu hijau residence,bambu hijau residence
POI,ruko pamulang permai,ruko pamulang p
POI,dunia mandiri photo copy,dunia mandiri photo copy
POI,a a gede ngu,a a ge
POI,oktaviana,oktaviana
POI,depot citra rasa,depot citra rasa
POI,swara harmony music school,swara harmony music school
POI,pusat pasar niaga ponsel,pusat pasar 
POI,"war kap kasi,",war ka
POI,ombun tijosh tra akses ui,ombun tijosh tra akses 
POI,phing-phing styl,"phing-phing styl, k"
POI,dusun jetis,dusun jetis
POI,"war bakso pak wati, jatil","war bakso pak wati, jati"
POI,meu rahmat jaya,"meu rahmat jaya, p"
POI,"smp neg 5 reok kilit,","smp neg 5 reok kilit, l"
POI,badan pusat stati kota pal,"badan pusat stati kota pal, teun "
POI,smk negeri 15 samarinda,smk negeri 15 samarinda
POI,peny dalam dokter diah rahmah sp pd,"spesialis peny dalam dokter diah rahmah sp pd, ra"
POI,sd negeri lob 02,"sd negeri lob 02,"
POI,"blau, no","blau, no 4"
POI,es teler berlian,es teler berlian
POI,beng cyan dr.,beng cyan dr
POI,sme mart,"sme mart, i"
POI,pt palam vict,"pt palam vict, s"
POI,toko kosmetika pabuaran,toko kosmetika pabuar
POI,kompleks terminal sian indah gst.,kompleks terminal sian indah gs
POI,"nota dela evahar s.h, m.kn danau keri","nota dela evahar s.h, m.kn danau "
POI,sport tiara,sport tiara
POI,suwarjono,"suwarjono, griya rias and"
POI,asrama mahasiswa ui,asrama mahasiswa ui
POI,bank rakyat indonesia,bank rakyat indonesia
POI,"raya kuta, no 88","raya kuta, no"
POI,j hot,"raya kuta, no"
POI,"panti asu harapan ban,","panti asu harapan ban,"
POI,rumah sakit umum dae ra,"wahid has, 10 rumah sakit umum dae"
POI,sari cell,"sari cell, j"
POI,univer,sekip utara sinduadi un
POI,kopi pawon,kopi pawon
POI,"stu 3 mand kadum,",stu 3 mand kadum
POI,toko indah jaya collection,toko indah jaya collection
POI,toko ismail,toko ismail
POI,raya salopa-ma,"raya salopa-ma,"
POI,java citayam residence,java citayam residence
POI,gky kuta bali,gky kuta ba
POI,tk kalang 1,"tk kalang 1, nga"
POI,water garden,water garden
POI,tk riay naj,"tk riay naj,"
POI,mt an nur,mt an nur
POI,"bank rak indonesia, muwa","bank rak indonesia, m"
POI,bali townh,"bali townh,"
POI,"mer via salon, gading",mer via s
POI,graha sentana,graha sentana
POI,showroom apri mobil,showroom apri
POI,"krakatau 1,","krakatau 1, "
POI,warung ceu titi,warung ceu titi
POI,forest hill,forest hill
POI,rsu herna medan,rsu herna medan
POI,anugerah ud,anugerah ud
POI,sale raya no 28a,sale raya no 
POI,jasa pembuatan kaligrafi,jasa pembuatan kaligrafi
POI,"pt alton puri perk, suryo","pt alton puri perk, suryo"
POI,hana salon,hana salon
POI,bojong menteng,bojong menteng
POI,masjid bai,masjid bai sajidin
POI,palm spring regency,palm spring regency
POI,aunty hijab,aunty hijab
POI,riau bri,riau bri 
POI,"danau poso, no 3b",hungry gogo
POI,panti asu putri asyiyah kh,panti asu putri asyiyah kh
POI,hisana fried chicken nurul huda,hisana fried chicken
POI,kedai semb rah alifiah jl,kedai semb rah alifiah jl. p
POI,toko wafa,toko wafa
POI,"bank dana indon pt tbk, kawis","bank dana indon pt tbk, kawis"
POI,dinas pu,"dinas pu bar utara,"
POI,toko qolbi,toko qolbi
POI,sido harjo rama sinta,sido harjo
POI,minima nov giam raya,minima nov giam r
POI,pes jaya,"pes jaya, s"
POI,upt puskesmas,upt puskes
POI,mas sma 1 depok,"mas sma 1 depok, b"
POI,cafe gio&,"cafe gio&, d"
POI,pkl nino,pkl nino
POI,jumper cell,jumper cell
POI,hotel grand hp,hotel grand hp
POI,"peri kem, no 79d","peri kem, no 79d toko b"
POI,wawan,wawan
POI,"glo media nusant pt, anta","glo media nusant pt, anta "
POI,kampung bahasa arab,kampung bahasa arab
POI,"ban nusa raya, 47",tukang sembako
POI,rumah makan bu umi,rumah makan bu umi
POI,cicadas kampung cicadas,cicadas kampung
POI,nasi kari ala,"nasi kari ala, k"
POI,santi,santi jayanti
POI,nasrul,nasrul
POI,perum dirgantara permai,perum dirgantara permai
POI,komplek bni,komplek bni
POI,pademangan 7,pademangan 7
POI,toko pada suka,toko pada suka
POI,pegadaian,pegadaian
POI,clioche,clioche
POI,pangk tni au,pangk tni au mua
POI,lapangan simp,"lapangan simp, li"
POI,"lasan, no","lasan, no 91 and "
POI,omah dan butik omah,"omah dan butik omah, raya p"
POI,bajuran kel.,bajuran kel.
POI,cluster mataram,cluster mataram
POI,asrama polisi,asrama polisi
POI,sma dipone,"sma dipone,"
POI,toko baju,toko baju
POI,iq sabah,iq sabah
POI,jend. sudi bank dana,jend. sudi bank dana sim p
POI,borneo lest tours dan trav pt,borneo lest tours dan trav pt
POI,graha dutar,graha dutar
POI,pt. honda prospect motor,"pt. honda prospect motor, kawas"
POI,hear solution,"hear solution, v"
POI,ana rifan. cv,"ana rifan. cv, p"
POI,sindang kasih uus usairah,sindang kas
POI,"smp neg 1 palipi, raya","smp neg 1 palipi, r"
POI,jag barber wib mukti 2,jag barber wib mu
POI,warung jamh,"warung jamh, m"
POI,"ndo collec, komp","ndo collec, ko"
POI,rm. putra,rm. putra kem po
POI,"retoran igc - ikan gor cianjur, w","retoran igc - ikan gor cianjur, w"
POI,tape ketan kania,tape ketan kania
POI,kedai bunay,kedai bunay
POI,"raden intan,",raden in
POI,makam wali nya,"makam wali nya, p"
POI,rm. vegeta,"rm. vegeta, ke"
POI,golf lake residence,golf lake residence
POI,baro,"baro, r"
POI,hen dewa sakti pt,"mel raya, 76 hen dew"
POI,nori toko mas-ho,nori toko mas-ho
POI,wanna biro jasa,wanna biro jasa
POI,"ki kuju, no 26 23","ki kuju, no 26 23 "
POI,rm. mandai,rm. mandai gra
POI,kir,"kir, p"
POI,md irsy najia,"md irsy najia,"
POI,"pt.eksis banget indon, bona","pt.eksis banget indon, bo"
POI,stokis hpa - sophan setiyan,"stokis hpa - sophan setiyan, s. sos."
POI,"soto bet ama, kir","soto bet ama, kir "
POI,masjid jamie nurul huda,masjid jamie nurul huda
POI,parkir motor,parkir moto
POI,cellone'n coffe,cellone'n coffe
POI,"ayam gor jawa mbah cemplung, jogor","ayam gor jawa mbah cemplung, j"
POI,fried chicken evan zp,fried chicken evan zp
POI,"beng motor ray, soekarno","beng motor ray, soek"
POI,dee,dee laun
POI,jhiro,jhiro
POI,plaza bri,plaza bri
POI,pesantren nurul huda ash sholihin,pesantren nurul huda ash sholihin
POI,pelabuhan tanjung serdang maniang  salino,pulau laut tengah pelabuhan tanjung serdang
POI,d metro,d metro
POI,tulusbesar toko,tulusbesar
POI,jambu tree residence,jambu tree residence
POI,gpdi immanuel sumala,"gpdi immanuel sumala, ma"
POI,"raya kau, yumna","raya kau, yumna o"
POI,sd negeri kanda barat 3,"sd negeri kanda barat 3, ks"
POI,terminal seloaji,barat terminal s
POI,nu cell,nu cell
POI,"sma neg 1 ransiki,","sma neg 1 ransiki,"
POI,perumahan damar mas,"perumahan damar mas, mang lay 4 ka"
POI,"waro kerang pulu, raya","waro kerang pulu, raya"
POI,powa kel.,"powa kel., p"
POI,perumahan permata coco,perumahan permata coco
POI,"jombl legok, no 1","jombl legok, no "
POI,cafe batra kel dua,cafe batra
POI,makam kyai rohmad nor,"makam kyai rohmad nor, k"
POI,smp negeri 5 bogor,smp negeri 5 bogor
POI,sd negeri bahagia 05,sd negeri bahagia 05
POI,kawasan industri tuban,kawasan industri tuban
POI,rumah orins - dapur ema,islamic village
POI,islamic village,islamic village
POI,arini grafika,arini grafika
POI,gita cipta event organ ibu sangki,gita cipta event organ ibu
POI,dapur jawa sederhana,dapur jawa sederhana
POI,sd negeri 2 nawa,sd negeri 2 nawa kerti
POI,"caringin smp neg 1 caringin, raya",caringin smp neg 1 ca
POI,bus terminal damri,bus terminal damri
POI,mas uswatun hasanah,mas uswatun hasanah se
POI,perumahan kft,perumahan kft
POI,perumahan golden land,perumahan golden land
POI,cendana ariaa bordir,cendana aria
POI,puncak pinus,puncak pinus
POI,taman pendidikan al qur'an sebelas maret,taman pendidikan al qur'an sebelas maret gla gl
POI,angkringan mas adhi,angkringan mas adhi
POI,citra alam riverside,citra alam riverside
POI,"indom, pasar","indom, pa"
POI,pesona bintaro rengas,pesona bintaro rengas
POI,tugimin,tugimin
POI,maruasey malalayang,jln maruasey malala
POI,zamqiiz jifani terpal,zamqiiz jifani terpal
POI,toilet pertamina,toilet pertamina
POI,"pdam fam 83, pem,","pdam fam 83, p"
POI,sdn cisa 1,"sdn cisa 1, s"
POI,den street,"den street mar, kuta"
POI,komp es terang,teluk dalam komp 
POI,pt oil tanking merak,pt oil tanking merak
POI,warung dhahar pojo zeg mura,papa no 16 warung dhahar pojo zeg
POI,toko putra,toko putra bha s.
POI,rm cepu anyer-c,"rm cepu anyer-c, brig"
POI,ruko sentra niaga,"ruko sentra niaga,"
POI,zuya busana,zuya busana
POI,"rais tas sema raya, semanan",rais tas
POI,wisata alam,wisata alam situ gunung
POI,wisata bukit mas cluster alexandria,wisata bukit mas cluster alexandria
POI,paud terpadu babul ilmi,paud terpadu babul ilmi
POI,salon salfa,salon salfa
POI,"mardhot collec, tugu","mardhot collec, tugu ja"
POI,rm. pad si kamba pangeran anta,rm. pad si kamba pa
POI,taman kota gorontalo,taman kota gorontalo
POI,"kart cell, jl","kart cell, j"
POI,dap iny,"dap iny pem, "
POI,potong rambut,potong rambut daniz
POI,"par ila, metro","par ila, m"
POI,wilis furni,"wilis furni, gu"
POI,smk kes bakti medika,smk kes bakti medika
POI,megia,"megia, pa"
POI,wolfca stu,wolfca stu rw 1
POI,dali motor,dali motor
POI,kios megah,kios megah
POI,rm arj,"rm arj, l"
POI,prof. suha sri,prof. suha sri 
POI,ilgos pt,ilgos pt
POI,puriloka asri pt,puriloka asri pt
POI,pavi,"pavi, kem t"
POI,iwan cell,iwan cell
POI,"mush al muba, teuku","mush al muba, teuku"
POI,mush at taqwa karang,mush at taqwa kar
POI,samp sumber baru furniture,kaliabang tengah samp sumber 
POI,mas al falah,mas al falah
POI,perum permata griya asa,perum permata griya asa
POI,palm spring regency,palm spring regency
POI,h. singgih,h. singgih
POI,lebak jero,lebak jero
POI,warung kiara,warung kiara
POI,aulia,"aulia collec, pa"
POI,toko bint,toko bint pr
POI,tugu tb 23 c,tb 23 c
POI,may,"may, d"
POI,"gatot subr, no 469 beng sep","gatot subr, no 469 beng"
POI,villas tropic,villas tropic
POI,toko sula,toko sula bat
POI,lech waro,"lech waro, paus"
POI,gang siat i no 37 pes,gang siat i no 37 pes cinere resid clus barce tah
POI,yayasan al ikh,"yayasan al ikh, r"
POI,"best fried chic, pram","best fried chic, p"
POI,ridwan toko,ridwan toko
POI,ypmp al ikh,"ypmp al ikh,"
POI,pasar kranji,pasar kranji
POI,jln.sumur bor,jln.sumur
POI,"can sep, muti","can sep, muti"
POI,apotek tunggal,apotek tunggal
POI,jun photo,"jun photo, i"
POI,mas raud falah,"mas raud falah, daran"
POI,platnomer stem kunci l-men raya,platnomer stem kunci l-men ra
POI,dms,dms
POI,pertigaan kali caglak,pertigaan kali caglak
POI,istana kem ast,istana kem as
POI,kantor lurah arjowinangun,kantor lurah arjowinangun
POI,tk pkk mardi,tk pkk mardi siwi
POI,ledok mas al-muhajirin,ledok mas al-muhaji
POI,sheila rosse villa,sheila rosse villa
POI,komp afnan residence,kebonpedes komp afnan r
POI,"bukit mera, z 17 ren","bukit mera, z 17 "
POI,sahur,"sahur, so"
POI,toko erna,toko erna
POI,"sd neg pasangg 2 cil,","sd neg pasangg 2 cil,"
POI,"mari, 10 balonggabus per","mari, 10 balonggabus per"
POI,one wolter place,one wolter place
POI,hegarasa ciherang gede,hegarasa ciherang gede
POI,pasar pejagalan,pasar pejagalan
POI,sarua indah,sarua in
POI,bara foot baturan colomadu,bara foot bat
POI,ponny eksp pt,"ponny eksp pt, ru"
POI,pangkas rambut dara,"pangkas rambut dara, p"
POI,apartemen kali city,apartemen kali city tmp
POI,bali buda store,bali buda store
POI,atom baby shop,atom baby shop
POI,toko ipin,toko ipin
POI,toko mbak sri,toko mbak sri
POI,toko erlin,toko erlin
POI,kar anyar 1,kar anyar 1 la
POI,rumah busana aninditha 81,rumah busana aninditha 81
POI,taman tugu juang,taman tugu juang
POI,toko teguh surya,toko teguh surya
POI,mie goreng rebus,mie goreng rebus
POI,trans kalima warung soto lamogan,trans kalima warung
POI,tiga jaya,tiga jaya
POI,masjid al falah kencong,masjid al falah
POI,riqza exclusiv,riqza exclusiv
POI,viar unga,"viar unga, r"
POI,service komp,"service komp, be"
POI,"sumor, 17","sumor, 17"
POI,wid salon,"wid salon, h"
POI,sabar subur toko,sabar subur toko
POI,seru,"seru, ra"
POI,perumahan bayur sarana indah,perumahan bayur sarana indah
POI,rm ban bong lig nak,rm ban bong lig nak r
POI,warung makan,warung makan
POI,perum cijerah,perum cijerah
POI,ruko,ruko dupak megah
POI,"smp neg 4 rimba melin,","smp neg 4 rimba melin, tanah"
POI,"war makan pak wid, samas","war makan pak wid, s"
POI,karunia jaya aba cv,karunia jaya aba cv pe
POI,ace hardware,ace hardware kelapa gading
POI,jembatan genit,jembatan genit
POI,galangan kapal,galangan kapal
POI,"kelompok berm salaf, raya","kelompok berm salaf, raya "
POI,zeno,zeno
POI,villa jaya qadri,villa jaya qadri
POI,pasar ii,dolok merangir
POI,tb. rudis jaya - toko bang,"tb. rudis jaya - toko bang, su"
POI,sor trans rental mobil,"sor trans rental mobil,"
POI,toko iwot acc,toko iwot acc
POI,kios shaf celluler,kios shaf celluler
POI,wisata bukit mas 2,wisata bukit mas 2
POI,cri kraukk,cri kraukk ra
POI,pelabuhan cpo,pelabuhan cpo kabil
POI,praktek dr. tri fitri,praktek dr. tri fitri
POI,war endin raden,war endin ra
POI,muti permata. pt,muti permata. pt vi
POI,sop ubi & nasi,sop ubi & nasi kun
POI,"byp ngu rai, no 2e 25","byp ngu rai, no 2e 25 pt. c"
POI,batam pow drink,batam pow drink ta
POI,raya bunar no 71,raya bunar no 71 a
POI,hello pet,hello pet
POI,kb nurul islam,kb nurul islam
POI,kafe nenek ita,kafe nenek ita
POI,warung cank ri,warung cank ri
POI,perumahan dinas puspiptek,perumahan dinas
POI,kepek ajis art and culture,kepek ajis art and cult
POI,bimokurdo,bimo
POI,memey access,"memey access, bu"
POI,nasi goreng,"nasi goreng pupuk baw,"
POI,rm. anug,"rm. anug, me"
POI,jembatan limpapeh,jembatan limpapeh
POI,citra villa,citra villa
POI,daan mogot no 158 hen abc indone,daan mogot no 158 hen
POI,ozhan cell,ozhan cell
POI,btn puri,btn puri
POI,ruko,ruko
POI,kimia farma,kimia farma
POI,aula serba guna,aula serba guna
POI,afif crc jaya,afif crc jaya
POI,"sen ali basa, yesa car","sen ali basa,"
POI,usamar pt,"usamar pt, gu"
POI,lapangan tangsi,lapangan tangsi
POI,munc ud,"munc ud, u"
POI,"war tegal risma bahari, al","war tegal risma bahari, a"
POI,kantor desa cutpaloh,kantor desa cutpaloh
POI,perumahan wahana,perumahan wahana
POI,water garden,water garden
POI,"bidara arab, tin dan","bidara arab, tin dan zai tembil, sun be"
POI,bank saha sampoerna palembang,"bank saha sampoerna palembang, j"
POI,oreg,"oreg, r"
POI,hacienda mexicano,hacienda mexicano
POI,warung jengkol,warung jengkol
POI,toko nada,toko nada
POI,baby house,baby house
POI,"sekert aids, jl","sekert aids, jl "
POI,rawa ilat,rawa ilat
POI,cemp putih raya,cemp putih ra
POI,cornelia residence,cornelia residence
POI,"war pak taleb, ulee","war pak taleb, u"
POI,taman joglo,taman joglo
POI,inaq masni,inaq masni
POI,"para, gubug","para, gubug krea sab"
POI,madin darul falah,madin darul falah
POI,villa glugur mas ni,villa glugur mas
POI,masjid,masjid
POI,yaf enterprise,"yaf enterprise, b"
POI,agen telur bu siti ami,agen telur bu siti ami re
POI,"soeh, 18a andh","soeh, 18a and"
POI,toko mbah pawiro,toko mbah pawiro
POI,pasar leuwiliang,pasar leuwiliang
POI,"perum marh 3, no a","perum marh 3, no a"
POI,and seal,and seal ha
POI,ud. kiho kubah,ud. kiho kubah
POI,"adi n.c store,","adi n.c store, barat"
POI,itc man dua,itc man dua ma
POI,uni,uni
POI,rumah jahit erlin tari,rumah jahit erlin tari
POI,satrio agung percetakan cv,satrio agung percetakan cv
POI,gedung keuangan negara,gedung keuangan negara
POI,angkri lek tang,"angkri lek tang,"
POI,photo copy del perdana,photo copy del perdana pa
POI,aero bout,"aero bout,"
POI,kampung melayu kan akuntan publik drs. s sinuraya,kampung melayu kan akuntan publik drs. s sinu
POI,"apo giri mulyo farma, panglima","apo giri mulyo farma, p"
POI,sam ratul c 17 sum,sam ratul c 17 sum
POI,cipta baja,cipta baja
POI,ardy serayu hp,jl abimanyu 10 45 ardy
POI,bappeda kab bin,"bappeda kab bin, a"
POI,mie bakso,mie bakso
POI,xl cen raja ali,xl cen ra
POI,tri murti ud,tri murti ud
POI,husnul khas,"husnul khas, je"
POI,old stumb,old stumb
POI,komplek puri citra,komplek puri citra
POI,warung jengkol,warung jengkol
POI,centra kosa jaya plastics. pt,centra kosa jaya plastics. pt bl
POI,kud cipto mak,"kud cipto mak, a"
POI,yos petshop,yos petshop
POI,uptd pasar induk cibi raya,uptd pasar induk cibi ray
POI,kantor pln (unit pelay wasuponda),"kantor pln (unit pelay wasuponda), wa"
POI,house of laun arco,house of laun ar
POI,toko mas paten,toko mas paten
POI,raya samarinda,raya samarinda-tenggaro
POI,rawa bunga,jat timur ii 4b 
POI,"kantor kep kamp tumbit mel, krueng","kantor kep kamp tumbit mel, krueng "
POI,kios marta,kios marta
POI,toko swamy,toko swamy
POI,kantor kelur sambong,kantor kelur sambong sam
POI,toko leg,"toko leg,"
POI,bubur angke,bubur angke
POI,mar,"mar, s"
POI,synthesis tower,synthesis tower
POI,kp.warung jengkol,kp.warung jeng
POI,sari tehnik. cv,sari tehnik. cv
POI,pasar senen,pasar senen
POI,tpa nurul jannah,tpa nurul jannah
POI,uji kompetensi keah smk neg 1 kopang raya,uji kompetensi keah smk neg 1 kopang raya b
POI,kedai bin ibu zaitun,"kedai bin ibu zaitun, p"
POI,"halim perd, guna","halim perd,"
POI,"monel anwar, no 100","monel anwar, no "
POI,zeps laundry,zeps laundry ciamis
POI,"perd jaya computer, mul","perd jaya computer, m"
POI,warkop gedor,warkop gedor
POI,bs ban,bs ban
POI,villa lotus cipa,gerb villa lotus cipa j 
POI,lingkar motor,lingkar motor
POI,mts swasta nurul hijrah,mts swasta nurul hijrah
POI,ali,"ali, h"
POI,toko pink,toko pink
POI,"war si adul nasio,",war si adul na
POI,sma negeri 24 garut,sma negeri 24 garut
POI,stu laditahouse,"stu laditahouse, g"
POI,diner dash,diner dash
POI,coffee shop,coffee shop
POI,dokter gigi,dokter gigi
POI,tambak ikan,tambak ikan
POI,salon owen,salon owen
POI,indomaret plus,indomaret plus utan kayu
POI,r e mar,"r e mar, mas jamik nurul"
POI,mas,"mas, r"
POI,ayam penyet teh teti,ayam penyet teh teti
POI,taman buah,kp cigarogol rt 03 0
POI,b tamasoa,b tamasoa
POI,"gun sari, no 16","gun sari, no 1"
POI,smp plus assala,"smp plus assala,"
POI,rumah kost tulimario,rumah kost tulimario
POI,perum griya mukti,perum griya mukti
POI,jalan iskandar muda,jalan iskandar
POI,harjo jati,harjo jati
POI,tanjung duren,taman apel
POI,baso jurek,baso jurek
POI,smk bina nusa slawi.70meter,patung obor
POI,toko rizky,toko rizky
POI,kp. sindangsari,(topik hidayat) k
POI,tk dewi ratih,tk dewi ratih
POI,"ratu agung, 53 cv","ratu agung, 53 cv"
POI,mega car,"mega car, k"
POI,"majelis tak masjid al muba, jetak","majelis tak masjid al muba, jeta"
POI,mitra sana,mitra sana kalbe
POI,perum griya kencana,perum griya kencana
POI,"gal hafiz bakso, pagar",gal hafiz b
POI,sd negeri 1 cili,"sd negeri 1 cili, ci"
POI,pichousephoto,pichousephoto
POI,palm spring regency,palm spring regency
POI,cahaya gad aba cv,cahaya gad aba cv purwo
POI,money changer,money changer
POI,toko roti sonia,toko roti sonia
POI,toko ariel madura,toko ariel madura
POI,tas souvenir,tas souvenir
POI,arta prima,arta prima
POI,sekolahan,dinoyo sekolahan
POI,badan narko nasional (bnn),badan narko nasional (bnn) jen
POI,sinta pertiwi pt,sinta pertiwi pt
POI,perumahan golden land,perumahan golden land
POI,br dalem,"br dalem, ds son"
POI,damai indah kaca tit pt,"damai indah kaca tit pt, s"
POI,batagor dan sio,batagor dan sio ra
POI,angkri & lotek bu yanti,angkri & lotek bu yanti con
POI,e cell,e cell
POI,ponpes attaqwa putra,ponpes attaqwa putra
POI,"geg arum, no 96 99","geg arum, no 96 99 "
POI,rm putra minang duo,rm putra mi
POI,musholla at taqwa tulus harapan tulus,musholla at taqwa tulus harapan
POI,toko tamb,"toko tamb, ra"
POI,kampung setu,kampung setu
POI,dama kawan kel.,dama kawan kel.
POI,dunia mand konsultan bunga asoka,dunia mand konsultan bu
POI,griya tutwuri handayani,griya tutwuri handayani
POI,sekolah springfield,taman permata buana
POI,popi sel prima pt,"popi sel prima pt, blok"
POI,"inform nusan comp syst house, jaga","inform nusan comp syst house, jaga,"
POI,"antapani, 3 furi","antapani, "
POI,griya tutwuri handayani,griya tutwuri handayani
POI,"war tegal kumis, bente","war tegal kumis, b"
POI,agen telor ayam mama,agen telor ayam mama
POI,toko bangunan dan elek acim baru,"abdu soli, toko bangunan dan elek ac"
POI,dunia pompa,dunia pompa
POI,marsuni,marsuni
POI,ud. hera jahud,ud. hera jahud den
POI,wahana gaya gemi pt,wahana gaya gemi pt raw
POI,kodai mas sh.,"kodai mas sh., k"
POI,"war makan, haji","war makan, h"
POI,sd negeri 17 law kidul,"sd negeri 17 law kidul, j"
POI,alfa j925 grand ci,"alfa j925 grand ci, r"
POI,resi abdul rozak no 2,depot tanaman hias mcm23
POI,depot tanaman hias mcm23,depot tanaman hias mcm23
POI,"pan, no 65",camar kharisma baru
POI,camar kharisma baru,camar kharisma baru
POI,perum emerald garden,perum emerald garden
POI,terate shopca mgl,"terate shopca mgl, de"
POI,mas babussalam,"mas babussalam,"
POI,cluster viscany,cluster viscany
POI,pam gki lembah yordan orga,"pam gki lembah yordan orga, h"
POI,mayb,mayb si
POI,toko marbun,toko marbun
POI,persada mas,persada mas
POI,"mas jami al ish, raya","mas jami al ish, raya"
POI,tania salon,tania salon
POI,jerneng darmaji,jerneng darmaji
POI,rptra kembangan,rptra kembangan
POI,the savia,the savia
POI,pinang ranti dea,pinang ra
POI,"mitra bukalapak war wahyudin, raya","mitra bukalapak war wahyudin, r"
POI,toko rohani,toko rohani
POI,"raya gub, no 39",grahanada musik
POI,grahanada musik,grahanada musik
POI,"purwan, no 1024","purwan, no 1024 p"
POI,gardenia park,gardenia park
POI,"lkp multi sar inform, pang","lkp multi sar inform, pang h"
POI,manun no 36,manun no 36 toko p. heri sdn 01
POI,toko p. heri sdn 015 pagi kapuk,manun no 36 toko p. heri sdn 01
POI,bank mega,bank mega
POI,kua dan balai nikah limb,"kua dan balai nikah limb, l"
POI,rest kampoeng dnara el,rest kampoeng dnara el 
POI,toko sinar perdag,toko sinar
POI,warung makan risqy barokah,warung makan risqy barokah
POI,pendawa pt emkl,pendawa pt emkl
POI,stasiun delanggu,stasiun delanggu
POI,maimunah,maimunah
POI,puskesmas banjar,"puskesmas banjar, ra"
POI,adi suci no 85b rumah,adi suci no 85b rumah k
POI,dev bea stu,"dev bea stu, citr"
POI,m. basir no 159,m. basir no 
POI,tk albarokah,tk albarokah
POI,halte soekarno hatta,halte soekarno hatta (smkn 6)
POI,"raya beng, sd neg 81 bengkulu selatan,","raya beng, sd neg 81 bengkulu"
POI,kantin rezeki,kantin rezeki
POI,depo air minum nero,depo air minum nero
POI,legit,legit
POI,corel,corel
POI,maga collect,"maga collect, mela 5"
POI,wisma berkat,jalan wisma berkat
POI,es teler 77,es teler 77
POI,toko aneka jaya indah,toko aneka jaya indah
POI,tower sakura,tower sakura
POI,halte brt karangayu ii,halte brt karangayu ii
POI,lapangan benu benua,lapangan benu benua
POI,"hen serv, gad","hen serv, gad "
POI,lapo ni tondo,"lapo ni tondo, ci"
POI,"sma muhamma gubug 2010- pem, godong","sma muhamma gubug 2010- pem, god"
POI,asso cake,"asso cake, je"
POI,puske tugala oyo siwawo,puske tugala oyo siw
POI,buntu lamba,buntu lamba
POI,kol no 45 heni,kol no 45 heni
POI,toko alya erik,toko alya erik
POI,jorong binu,jorong binu
POI,twist tamora square,jln.subak sar
POI,warkop b99,warkop b99
POI,zakia music,zakia music
POI,simpang 4 kompi,simpang 4 kompi
POI,kantor pelayanan pajak pratama,kantor pelay
POI,sd islam as-syaf 02,"sd islam as-syaf 02, ray"
POI,herjan,herjan
POI,pang rambut brew,pang rambut brew
POI,"kur mengemudi tale mjp, gg","kur mengemudi tale mjp, gg h"
POI,tiying tutul,banjar tiyin
POI,oro koffie,samping inkoppol
POI,rama panakk,rama panakk mas angg
POI,eka susw,"eka susw, l"
POI,gedung gatra,gedung gatra
POI,toko rej manis,"toko rej manis, j"
POI,"semen tonasa indon, ir","semen tonasa indon, ir"
POI,laura laundry and dry clea,"laura laundry and dry clea, mi"
POI,"dewi sart,","dewi sart, no 9"
POI,tarbiyatul islamiyah,tarbiyatul islamiyah
POI,toko nisa,toko nisa
POI,ade irma sury ha,ade irma sury
POI,sman 1 muar,"sman 1 muar, mu"
POI,tk negeri satu atap ma ahas,tk negeri satu atap ma ahas
POI,mark indust,"mark indust, pamitr"
POI,"bengkel sum mobil, tunggo","bengkel sum mobil, t"
POI,dira shop,dira shop
POI,asia tek ac,asia tek ac se
POI,ubud warung,ubud warung 
POI,pura batur desa adat kalibalang,pura batur desa adat kalibalang
POI,sarana tekn serasi. cv,sarana tekn serasi. cv ray
POI,"southern chemicals & engine pt, peta","southern chemicals & engine pt, pet"
POI,ln express jakarta,ln express ja
POI,kolam renang damai bumi golf indah,kolam renang damai bumi golf indah
POI,toko besi mba,"toko besi mba, l"
POI,derma q sutomo,derma q sutomo
POI,mush,"mush ad dau, sungg"
POI,cv. arta kedaton,cv. arta kedaton
POI,mesin bordir comp,"mesin bordir comp, ka"
POI,dewi sri salon,dewi sri salon
POI,komplek polri cipinang atas,komplek polri cipinang atas
POI,taman garuda,taman garuda
